,1,2,3,4,5,6,7,,1,44,45,45,8,9,10,11,12,13,14,15,16,17,18,17,,16,16,17,19,48,19,19,20,2,,,21,22,23,38,24,31,35,35,24,24,,,33,30,32,43,47,47,25,25,25,25,25,25,25,34,40,40,26,27,28,41,,41
Customer PN,955.070.085.1,955.070.086.1,955.071.676.1,,955.070.092.1,955.070.093.1,,955.074.682.1,955.074.680.1,955.071.674.1,955.071.675.1,955.073.266.1,,955.073.129.1,,955.074.814.1,,,,110110,955.071.839.1,,,110068,955.073.189.1,4290565,4233995,955.075.005.1,955.075.028.1,6/718/822/500,,1933724140,,1930524140,2714319,286A6199P003,955.071.278.1,955.070.409.1,955.070.406.1,955.070.308.1,MTZ9206−130,MTZ9206NI−130,MTZ9206LSE−130,MTZ9206LSNI−130,955.070.403.1,955.070.097.1,955.074.601.0,955.070.031.1,955.070.293.1,955.071.472.1,Y-NDX2512TG-EN1N0000,,5262700,955.070.282.1,1951224423,BF20-10,1000100001,BF20-4,1951224343,17310,2661486,,5813540110,955.072.798.1,955.070.357.1,955.070.358.1,955.070.359.1,36JM8852050,36JM2100800,955.073.532.1
PO REF,AJ19-0805,AJ19-0805,AJ19-0805,AJ19-0703,AJ20-0102,AJ19-1205,,AJ18-0703,AJ18-0703,AJ19-1001,AJ19-1001,AN21-0704,,AJ19-0708,,AJ20-0305,AJ19-0601,AJ19-0607,AJ19-0607,AJ19-0803,AJ19-0506,AJ19-0607,AJ19-0607,AJ20-0204,AJ20-0702,AJ19-0807,AJ19-0807,AJ20-0703,AJ19-0402,AJ-1203,AJ19-0601,AJ18-1204,,AJ19-0809,AN20-1003,AJ20-0303,AJ19-0607,AJ19-0506,AM19-1101,AM19-1101,AN18-0601,AM19-0101,AM19-0403,AN21-0604,AJ18-0703,AN20-1107,AJ18-0703,AN21-0701,AM19-1101,AM18-0602,AM19-0301,AN20-0503,AN20-0508,AN21-0201,AJ19-0906,AN21-0503,AN20-1102,AN21-0503,AJ19-0905,AJ19-0501,AJ19-0704,AJ19-0706,AJ19-0809,AJ21-0203,AJ19-1001,AJ19-1001,AJ19-1001,AJ19-0901,AN20-1207,AN20-0902
From Stock,,,,,,V,,,,,,,,V,,V,,,,V,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,8,8,8,1,8,1,,1,1,10,20,1,,18,,3,13,50,5,40,3,5,10,30,6,40,40,1,6,2,51,1,,5,1,4,50,4,1,1,10,4,4,5,2,3,2,3,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,30,100,50,3,2,1
Price,"₪5,287","₪3,066","₪5,755","₪3,902","₪5,287","₪3,066",,"₪8,418","₪5,909","₪1,782","₪1,843","₪7,465",,₪349,,₪297,₪234,₪155,₪92,₪97,₪527,₪100,₪137,₪87,₪681,₪98,₪98,"₪3,050","₪1,882","₪4,275",₪655,"₪4,156",,"₪1,140","₪2,238","₪1,791",₪126,"₪1,400","₪1,540","₪2,082","₪6,374","₪6,102","₪7,293","₪7,660","₪18,888","₪8,787","₪18,888","₪8,254","₪9,730","₪9,430","₪7,500","₪8,653","₪8,638","₪9,068","₪26,354","₪12,573","₪10,976","₪5,317","₪10,709","₪4,979","₪3,276","₪7,238","₪1,592","₪4,132",₪371,₪209,₪122,₪527,"₪2,030","₪5,766"
Discount,0%,0%,0%,0%,10%,0%,,0%,0%,8%,8%,0%,,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,,0%,0%,0%,3%,3%,0%,,,,0%,0%,0%,0%,3%,,,0%,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8%,8%,8%,0%,,0%
Final Price,"₪42,299","₪24,526","₪46,043","₪3,902","₪38,069","₪3,066",₪0,"₪8,418","₪5,909","₪16,392","₪33,918","₪7,465",₪0,"₪6,279",₪0,₪891,"₪3,042","₪7,740",₪460,"₪3,862","₪1,580",₪500,"₪1,373","₪2,610","₪4,088","₪3,901","₪3,901","₪3,050","₪11,290","₪8,550","₪33,405","₪4,156",₪0,"₪5,702","₪2,238","₪7,166","₪6,300","₪5,600","₪1,494","₪2,020","₪63,735","₪24,410","₪29,170","₪38,300","₪37,775","₪26,361","₪37,775","₪24,763","₪18,876","₪9,430","₪15,000","₪8,653","₪17,275","₪18,136","₪26,354","₪12,573","₪10,976","₪5,317","₪10,709","₪4,979","₪3,276","₪14,475","₪3,183","₪8,264","₪10,248","₪19,259","₪5,632","₪1,582","₪4,060","₪5,766"
Customer,Ormat,Ormat,OrPower,Ormat,Ormat,Ormat,,Ormat,,,,,,Ormat,,,Ormat,Super Gas,Ormat,Super Gas,Ormat,Super Gas,,Super Gas,Ormat,,,,,,Ormat,Adama,,Adama,,,Ormat,Ormat,Ormat,,Raphael,Raphael,Raphael,,Ormat,Ormat,Ormat,,Ormat,Ormat,,,,,,,Oriayn,,Adama,,,,,,Ormat,Ormat,Ormat,Bazan,Bazan,Ormat
Customer PN,955.070.085.1,955.070.086.1,955.071.676.1,955.072.575.1,955.070.092.1,955.070.093.1,,955.074.682.1,,,,,,955.073.861.1,,,955.071.374.1,110109,955.074.758.1,110110,955.071.839.1,110111,,110068,955.073.189.1,,,,,,955.071.924.1,1933724140,,1930524140,,,955.071.277.1,955.070.409.1,955.070.406.1,,MTZ9206−130,MTZ9206NI−130,MTZ9206LSE−80,,955.070.403.1,955.070.097.1,955.074.601.0,,955.070.293.1,955.071.472.1,,,,,,,BF20-8,,1951224343,,,,,,955.070.357.1,955.070.358.1,955.070.359.1,36JM8852050,36JM2100800,955.073.532.1
PO REF,AJ20-1001,AJ20-1001,AJ19-1001,AJ19-0805,AJ20-0602,AJ20-0102,,AJ19-0705,,,,,,AJ20-0206,,,AJ19-0607,AJ19-0803,AJ20-0305,AJ20-0101,AJ19-601,AJ19-0803,,AJ20-0204,AJ21-0501,,,,,,AJ19-0708,AJ19-0504,,AN20-0606,,,AJ21-0102,AJ19-0705,AM20-0103,,AM18-0901,AM19-0602,AM19-0602,,AJ19-0705,AN21-0402,AJ19-0705,,AM20-0102,AM18-0701,,,,,,,AN21-0503,,AJ20-0105,,,,,,AJ19-1104,AJ19-1104,Aj19-1104,AJ19-0901,AN21-0305,AN21-0401
